repo,path,file_type,label
Binaries,[extracted]/ZeroAccess_xxx-porn-movie.avi.exe_,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/GROK_24A6EC8EBF9C0867ED1C097F4A653B8D,PE32+ executable (fallback),likely_native_unknown
Binaries,[extracted]/Win32Dircrypt.Trojan.Ransom.ABZ/119.executable,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/Win32Dircrypt.Trojan.Ransom.ABZ/11fb52c96853e12f011b7b7894e9884e56eb5522,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/FLASH829.EXE,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/blanca de nieve.scr,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/midgets.scr,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/40c46bcab9acc0d6d235491c01a66d4c6f35d884c19c6f410901af6d1e33513b,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/a7493fac96345a989b1a03772444075754a2ef11daa22a7600466adc1f69a669,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/a7e3ad8ea7edf1ca10b0e5b0d976675c3016e5933219f97e94900dea0d470abe,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/a0d82c3730bc41e267711480c8009883d1412b68977ab175421eabc34e4ef355,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/8d7be9ed64811ea7986d788a75cbc4ca166702c6ff68c33873270d7c6597f5db,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/7d38eb24cf5644e090e45d5efa923aff0e69a600fb0ab627e8929bb485243926,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/f1d903251db466d35533c28e3c032b7212aa43c8d64ddf8c5521b43031e69e1e,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/c0cf8e008fbfa0cb2c61d968057b4a077d62f64d7320769982d28107db370513,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/e1ba03a10a40aab909b2ba58dcdfd378b4d264f1f4a554b669797bbb8c8ac902,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/b12c7d57507286bbbe36d7acf9b34c22c96606ffd904e3c23008399a4a50c047,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/9cd5127ef31da0e8a4e36292f2af5a9ec1de3b294da367d7c05786fe2d5de44f,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/5001793790939009355ba841610412e0f8d60ef5461f2ea272ccf4fd4c83b823,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/4e39bc95e35323ab586d740725a1c8cbcde01fe453f7c4cac7cced9a26e42cc9,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/illusion_bot/Build.exe,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/Avatar_Rootkit_NETbotnet_32d6644c5ea66e390070d3dc3401e54b_unpacked,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/Linux.Chapros.A/the_zeus_binary_chapros,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/Matsnu-MBRwipingRansomware_1B2D2A4B97C7C2727D571BBF9376F54F_Inkasso Rechnung vom 27.05.2013 .com_,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/strip-girl-2.0bdcom_patches.exe,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/eqig.ex_,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/8c213b3707b0b042d769fdf543c6e8bd7c127cea6a9bc989eaf241a1505d1ed9,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/yfoye_dump.exe,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/conficker,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/sjl8j6ap3.dll,PE32+ executable (fallback),high_confidence_cpp
Binaries,[extracted]/Hive.elf,ELF executable (fallback),high_confidence_cpp
Binaries,[extracted]/hive.bin_exe,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/windows_25bfec0c3c81ab55cf85a57367c14cc6803a03e2e9b4afd72e7bbca9420fe7c5,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/EquationLaser_752AF597E6D9FD70396ACCC0B9013DBE,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/Dustman.exe,PE32+ executable (fallback),likely_native_unknown
Binaries,[extracted]/payload.dll,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/Sality_627B8095B1024A0DDFDFA01BF9AFF803,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/Win32.Sofacy.A,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/win32.exe,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/afa8d185de2f357082ed4042fc057a6d7300f603d3bfdbe7e6c351868e45e477,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/a6ff8dfe654da70390cd71626cdca8a6f6a0d7980cd7d82269373737b04fd206,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/0dc2ab0ccf783fb39028326a7e8b0ba4eaa148020ec05fc26313ef2bf70f700f,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/a38df3ec8b9fe52a32860cf5756d2fe345badafd7e74466cd349eb32ba5cc339,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/6072a303039b032f1b3b0e596a3eb9a35568cef830a18404c18bb4fffef86fba,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/9c17f267f79597ee01515f5ef925375d8a19844830cc46917a3d1b5bcb0ba4c3,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/cff49c25b053f775db8980a431a958020bdf969ea08872de4cef5a5f344f534c,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/86bb737bd9a508be2ff9dc0dee7e7c40abea215088c61788a368948f9250fa4c,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/0eb038e7e5edd6ac1b4eee8dd1c51b6d94da24d02ba705e7e7f10b41edf701c2,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/01259a104a0199b794b0c61fcfc657eb766b2caeae68d5c6b164a53a97874257,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/0cfc34fa76228b1afc7ce63e284a23ce1cd2927e6159b9dea9702ad9cb2a6300,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/05455efecab4a7931fa53a3c2008d04fc6b539c5e8f451f19b617bd9b3ebcd83,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/6b91fdb0992ca029c913092db7b4fd94c917c1473953d1ec77c74d030776fe9a,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/084a220ba90622cc223b93f32130e9f2d072679f66d1816775bf14832d492b8a,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/a3667153a6322fb8d4cf8869c094a05e995e2954fda833fe14304837ed4fd0bd,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/c7128e2772b4f8c59943028e205d1b23c07f36206c1c61a05645c7bf143b24ee,PE32 executable (fallback),high_confidence_cpp
Binaries,[extracted]/WMIGhost/afa8d185de2f357082ed4042fc057a6d7300f603d3bfdbe7e6c351868e45e477,PE32 executable (fallback),likely_native_unknown
